jdls,j,m,a,i,polluant1,polluant2,polluant3
vendredi,24,7,2015,4,O3,PM10,
samedi,25,7,2015,4,O3,,
dimanche,26,7,2015,4,O3,,
lundi,27,7,2015,3,O3,,
mardi,28,7,2015,3,O3,,
mercredi,29,7,2015,3,O3,PM10,
jeudi,30,7,2015,4,O3,,
vendredi,31,7,2015,4,O3,,
samedi,1,8,2015,5,O3,,
dimanche,2,8,2015,6,O3,,
lundi,3,8,2015,6,O3,,
mardi,4,8,2015,4,O3,,
mercredi,5,8,2015,5,O3,,
jeudi,6,8,2015,4,O3,,
vendredi,7,8,2015,5,O3,,
samedi,8,8,2015,4,O3,,
dimanche,9,8,2015,5,O3,,
lundi,10,8,2015,4,O3,,
mardi,11,8,2015,4,O3,,
mercredi,12,8,2015,7,O3,,
jeudi,13,8,2015,5,O3,,
vendredi,14,8,2015,4,O3,,
samedi,15,8,2015,4,O3,,
dimanche,16,8,2015,4,O3,,
lundi,17,8,2015,4,O3,,
mardi,18,8,2015,4,O3,PM10,
mercredi,19,8,2015,5,O3,,
jeudi,20,8,2015,3,O3,PM10,
vendredi,21,8,2015,4,O3,,
samedi,22,8,2015,5,O3,,
dimanche,23,8,2015,4,O3,,
lundi,24,8,2015,3,O3,,
mardi,25,8,2015,3,O3,,
mercredi,26,8,2015,4,O3,,
jeudi,27,8,2015,3,NO2,O3,
vendredi,28,8,2015,3,NO2,O3,
samedi,29,8,2015,4,O3,,
dimanche,30,8,2015,5,O3,,
lundi,31,8,2015,4,O3,PM10,
mardi,1,9,2015,4,O3,,
mercredi,2,9,2015,4,O3,,
jeudi,3,9,2015,4,O3,,
vendredi,4,9,2015,3,O3,,
samedi,5,9,2015,3,O3,,
dimanche,6,9,2015,3,O3,,
lundi,7,9,2015,3,NO2,O3,PM10
mardi,8,9,2015,3,O3,PM10,
mercredi,9,9,2015,4,O3,,
jeudi,10,9,2015,4,O3,,
vendredi,11,9,2015,4,O3,PM10,
samedi,12,9,2015,3,NO2,O3,PM10
dimanche,13,9,2015,2,NO2,O3,PM10
lundi,14,9,2015,3,O3,,
mardi,15,9,2015,3,O3,,
mercredi,16,9,2015,3,O3,,
jeudi,17,9,2015,3,NO2,O3,PM10
vendredi,18,9,2015,3,NO2,O3,
samedi,19,9,2015,3,O3,,
dimanche,20,9,2015,4,O3,,
lundi,21,9,2015,4,O3,,
mardi,22,9,2015,3,O3,,
mercredi,23,9,2015,3,NO2,O3,PM10
jeudi,24,9,2015,3,NO2,,
vendredi,25,9,2015,3,NO2,PM10,
samedi,26,9,2015,3,O3,PM10,
dimanche,27,9,2015,4,O3,,
lundi,28,9,2015,3,O3,PM10,
mardi,29,9,2015,3,O3,PM10,
mercredi,30,9,2015,3,NO2,O3,PM10
jeudi,1,10,2015,3,O3,PM10,
vendredi,2,10,2015,4,NO2,PM10,
samedi,3,10,2015,6,PM10,,
dimanche,4,10,2015,5,PM10,,
lundi,5,10,2015,3,PM10,,
mardi,6,10,2015,3,O3,,
mercredi,7,10,2015,3,O3,,
jeudi,8,10,2015,3,NO2,O3,PM10
vendredi,9,10,2015,4,PM10,,
samedi,10,10,2015,4,PM10,,
dimanche,11,10,2015,5,PM10,,
lundi,12,10,2015,6,PM10,,
mardi,13,10,2015,6,PM10,,
mercredi,14,10,2015,5,PM10,,
jeudi,15,10,2015,4,PM10,,
vendredi,16,10,2015,5,PM10,,
samedi,17,10,2015,4,PM10,,
dimanche,18,10,2015,3,NO2,PM10,
lundi,19,10,2015,6,PM10,,
mardi,20,10,2015,6,PM10,,
mercredi,21,10,2015,4,PM10,,
jeudi,22,10,2015,3,NO2,,
vendredi,23,10,2015,3,NO2,O3,PM10
samedi,24,10,2015,3,PM10,,
dimanche,25,10,2015,3,O3,PM10,
lundi,26,10,2015,4,PM10,,
mardi,27,10,2015,4,NO2,PM10,
mercredi,28,10,2015,3,NO2,PM10,
jeudi,29,10,2015,3,NO2,PM10,
vendredi,30,10,2015,3,NO2,PM10,
samedi,31,10,2015,5,PM10,,
dimanche,1,11,2015,6,PM10,,
lundi,2,11,2015,5,PM10,,
mardi,3,11,2015,3,NO2,PM10,
mercredi,4,11,2015,3,NO2,O3,PM10
jeudi,5,11,2015,3,NO2,PM10,
vendredi,6,11,2015,2,NO2,O3,PM10
samedi,7,11,2015,2,NO2,O3,PM10
dimanche,8,11,2015,3,PM10,,
lundi,9,11,2015,3,O3,PM10,
mardi,10,11,2015,3,NO2,PM10,
mercredi,11,11,2015,3,PM10,,
jeudi,12,11,2015,4,PM10,,
vendredi,13,11,2015,3,O3,PM10,
samedi,14,11,2015,3,O3,PM10,
dimanche,15,11,2015,3,O3,PM10,
lundi,16,11,2015,3,O3,PM10,
mardi,17,11,2015,3,O3,,
mercredi,18,11,2015,3,O3,PM10,
jeudi,19,11,2015,3,O3,,
vendredi,20,11,2015,3,NO2,O3,
samedi,21,11,2015,3,O3,,
dimanche,22,11,2015,3,NO2,O3,
lundi,23,11,2015,5,PM10,,
mardi,24,11,2015,3,NO2,PM10,
mercredi,25,11,2015,3,NO2,,
jeudi,26,11,2015,5,PM10,,
vendredi,27,11,2015,6,PM10,,
samedi,28,11,2015,3,NO2,O3,PM10
dimanche,29,11,2015,3,O3,PM10,
lundi,30,11,2015,3,O3,,
mardi,1,12,2015,3,NO2,O3,PM10
mercredi,2,12,2015,4,NO2,,
jeudi,3,12,2015,4,PM10,,
vendredi,4,12,2015,4,NO2,PM10,
samedi,5,12,2015,3,NO2,PM10,
dimanche,6,12,2015,3,PM10,,
lundi,7,12,2015,4,PM10,,
mardi,8,12,2015,3,NO2,PM10,
mercredi,9,12,2015,4,PM10,,
jeudi,10,12,2015,3,PM10,,
vendredi,11,12,2015,3,NO2,PM10,
samedi,12,12,2015,2,NO2,O3,PM10
dimanche,13,12,2015,3,PM10,,
lundi,14,12,2015,5,PM10,,
mardi,15,12,2015,4,PM10,,
mercredi,16,12,2015,5,PM10,,
jeudi,17,12,2015,4,PM10,,
vendredi,18,12,2015,5,PM10,,
samedi,19,12,2015,5,PM10,,
dimanche,20,12,2015,4,PM10,,
lundi,21,12,2015,3,O3,PM10,
mardi,22,12,2015,3,O3,,
mercredi,23,12,2015,3,NO2,O3,PM10
jeudi,24,12,2015,3,O3,PM10,
vendredi,25,12,2015,3,O3,PM10,
samedi,26,12,2015,3,NO2,PM10,
dimanche,27,12,2015,4,PM10,,
lundi,28,12,2015,4,PM10,,
mardi,29,12,2015,3,NO2,O3,PM10
mercredi,30,12,2015,3,PM10,,
jeudi,31,12,2015,4,PM10,,
vendredi,1,1,2016,3,PM10,,
samedi,2,1,2016,3,O3,,
dimanche,3,1,2016,3,O3,,
lundi,4,1,2016,3,O3,PM10,
mardi,5,1,2016,2,NO2,O3,PM10
mercredi,6,1,2016,2,NO2,O3,PM10
jeudi,7,1,2016,3,O3,,
vendredi,8,1,2016,4,PM10,,
samedi,9,1,2016,3,O3,,
dimanche,10,1,2016,3,O3,,
lundi,11,1,2016,3,O3,,
mardi,12,1,2016,3,O3,,
mercredi,13,1,2016,3,NO2,O3,PM10
jeudi,14,1,2016,3,O3,,
vendredi,15,1,2016,3,NO2,O3,
samedi,16,1,2016,4,PM10,,
dimanche,17,1,2016,5,PM10,,
lundi,18,1,2016,4,PM10,,
mardi,19,1,2016,6,PM10,,
mercredi,20,1,2016,8,PM10,,
jeudi,21,1,2016,8,PM10,,
vendredi,22,1,2016,5,PM10,,
samedi,23,1,2016,4,PM10,,
dimanche,24,1,2016,4,PM10,,
lundi,25,1,2016,4,PM10,,
mardi,26,1,2016,4,PM10,,
mercredi,27,1,2016,3,O3,,
jeudi,28,1,2016,4,PM10,,
vendredi,29,1,2016,3,NO2,O3,PM10
samedi,30,1,2016,3,O3,,
dimanche,31,1,2016,3,O3,,
lundi,1,2,2016,3,O3,,
mardi,2,2,2016,3,O3,,
mercredi,3,2,2016,3,O3,PM10,
jeudi,4,2,2016,3,NO2,PM10,
vendredi,5,2,2016,3,NO2,,
samedi,6,2,2016,3,O3,PM10,
dimanche,7,2,2016,4,O3,,
lundi,8,2,2016,3,O3,,
mardi,9,2,2016,3,O3,,
mercredi,10,2,2016,3,O3,,
jeudi,11,2,2016,3,NO2,O3,PM10
vendredi,12,2,2016,3,NO2,,
samedi,13,2,2016,3,O3,,
dimanche,14,2,2016,3,O3,,
lundi,15,2,2016,3,O3,,
mardi,16,2,2016,4,PM10,,
mercredi,17,2,2016,6,PM10,,
jeudi,18,2,2016,5,PM10,,
vendredi,19,2,2016,3,NO2,O3,PM10
samedi,20,2,2016,3,O3,,
dimanche,21,2,2016,3,O3,,
lundi,22,2,2016,3,O3,,
mardi,23,2,2016,3,NO2,O3,
mercredi,24,2,2016,4,PM10,,
jeudi,25,2,2016,5,PM10,,
vendredi,26,2,2016,6,PM10,,
samedi,27,2,2016,5,PM10,,
dimanche,28,2,2016,5,PM10,,
lundi,29,2,2016,4,PM10,,
mardi,1,3,2016,4,PM10,,
mercredi,2,3,2016,3,O3,,
jeudi,3,3,2016,4,NO2,,
vendredi,4,3,2016,3,NO2,O3,
samedi,5,3,2016,3,O3,PM10,
dimanche,6,3,2016,3,O3,PM10,
lundi,7,3,2016,3,NO2,O3,PM10
mardi,8,3,2016,3,NO2,O3,PM10
mercredi,9,3,2016,3,O3,,
jeudi,10,3,2016,4,PM10,,
vendredi,11,3,2016,8,PM10,,
samedi,12,3,2016,8,PM10,,
dimanche,13,3,2016,6,PM10,,
lundi,14,3,2016,5,PM10,,
mardi,15,3,2016,6,PM10,,
mercredi,16,3,2016,5,PM10,,
jeudi,17,3,2016,6,PM10,,
vendredi,18,3,2016,8,PM10,,
samedi,19,3,2016,4,PM10,,
dimanche,20,3,2016,4,PM10,,
lundi,21,3,2016,4,PM10,,
mardi,22,3,2016,4,O3,PM10,
mercredi,23,3,2016,4,PM10,,
jeudi,24,3,2016,6,PM10,,
vendredi,25,3,2016,4,PM10,,
samedi,26,3,2016,4,O3,,
dimanche,27,3,2016,4,O3,,
lundi,28,3,2016,3,O3,,
mardi,29,3,2016,3,NO2,O3,
mercredi,30,3,2016,3,NO2,O3,
jeudi,31,3,2016,3,O3,,
vendredi,1,4,2016,5,PM10,,
samedi,2,4,2016,4,PM10,,
dimanche,3,4,2016,4,O3,,
lundi,4,4,2016,4,O3,,
mardi,5,4,2016,4,O3,,
mercredi,6,4,2016,4,O3,,
jeudi,7,4,2016,3,O3,,
vendredi,8,4,2016,3,NO2,O3,PM10
samedi,9,4,2016,4,O3,,
dimanche,10,4,2016,4,O3,,
lundi,11,4,2016,3,NO2,O3,
mardi,12,4,2016,4,O3,,
mercredi,13,4,2016,4,O3,,
jeudi,14,4,2016,4,O3,,
vendredi,15,4,2016,4,O3,,
samedi,16,4,2016,4,O3,,
dimanche,17,4,2016,4,O3,,
lundi,18,4,2016,4,O3,,
mardi,19,4,2016,4,O3,,
mercredi,20,4,2016,4,O3,PM10,
jeudi,21,4,2016,4,NO2,O3,PM10
vendredi,22,4,2016,7,PM10,,
samedi,23,4,2016,3,O3,PM10,
dimanche,24,4,2016,3,O3,,
lundi,25,4,2016,3,NO2,O3,PM10
mardi,26,4,2016,4,O3,,
mercredi,27,4,2016,4,O3,,
jeudi,28,4,2016,4,O3,,
vendredi,29,4,2016,3,O3,,
samedi,30,4,2016,3,O3,,
dimanche,1,5,2016,4,O3,,
lundi,2,5,2016,4,O3,,
mardi,3,5,2016,4,O3,,
mercredi,4,5,2016,5,O3,,
jeudi,5,5,2016,5,O3,,
vendredi,6,5,2016,5,O3,,
samedi,7,5,2016,5,O3,,
dimanche,8,5,2016,5,O3,,
lundi,9,5,2016,5,O3,,
mardi,10,5,2016,3,O3,,
mercredi,11,5,2016,3,NO2,PM10,
jeudi,12,5,2016,3,NO2,O3,PM10
vendredi,13,5,2016,7,PM10,,
samedi,14,5,2016,4,O3,,
dimanche,15,5,2016,4,O3,,
lundi,16,5,2016,4,O3,PM10,
mardi,17,5,2016,4,O3,PM10,
mercredi,18,5,2016,4,O3,,
jeudi,19,5,2016,3,NO2,O3,PM10
vendredi,20,5,2016,3,O3,,
samedi,21,5,2016,3,NO2,O3,
dimanche,22,5,2016,3,O3,,
lundi,23,5,2016,3,O3,,
mardi,24,5,2016,3,O3,PM10,
mercredi,25,5,2016,4,O3,PM10,
jeudi,26,5,2016,4,PM10,,
vendredi,27,5,2016,5,O3,,
samedi,28,5,2016,4,O3,,
dimanche,29,5,2016,6,PM10,,
lundi,30,5,2016,3,O3,PM10,
mardi,31,5,2016,3,O3,,
mercredi,1,6,2016,4,PM10,,
jeudi,2,6,2016,3,O3,PM10,
vendredi,3,6,2016,3,O3,,
samedi,4,6,2016,3,O3,PM10,
dimanche,5,6,2016,5,PM10,,
lundi,6,6,2016,6,PM10,,
mardi,7,6,2016,5,O3,PM10,
mercredi,8,6,2016,6,PM10,,
jeudi,9,6,2016,4,O3,PM10,
vendredi,10,6,2016,5,O3,,
samedi,11,6,2016,4,O3,,
dimanche,12,6,2016,4,O3,,
lundi,13,6,2016,2,NO2,O3,PM10
mardi,14,6,2016,3,O3,,
mercredi,15,6,2016,3,O3,,
jeudi,16,6,2016,2,NO2,O3,PM10
vendredi,17,6,2016,3,O3,,
samedi,18,6,2016,3,O3,PM10,
dimanche,19,6,2016,4,O3,,
lundi,20,6,2016,2,NO2,O3,PM10
mardi,21,6,2016,2,NO2,O3,PM10
mercredi,22,6,2016,3,NO2,O3,PM10
jeudi,23,6,2016,5,O3,,
vendredi,24,6,2016,4,O3,,
samedi,25,6,2016,3,O3,,
dimanche,26,6,2016,4,O3,,
lundi,27,6,2016,2,NO2,O3,PM10
mardi,28,6,2016,3,O3,PM10,
mercredi,29,6,2016,3,O3,,
jeudi,30,6,2016,3,O3,,
vendredi,1,7,2016,3,O3,,
samedi,2,7,2016,3,O3,,
dimanche,3,7,2016,2,O3,PM10,
lundi,4,7,2016,3,O3,PM10,
mardi,5,7,2016,3,O3,,
mercredi,6,7,2016,5,O3,,
jeudi,7,7,2016,6,O3,,
vendredi,8,7,2016,5,O3,,
samedi,9,7,2016,4,O3,,
dimanche,10,7,2016,4,O3,,
lundi,11,7,2016,3,O3,PM10,
mardi,12,7,2016,3,O3,,
mercredi,13,7,2016,3,O3,PM10,
jeudi,14,7,2016,3,O3,,
vendredi,15,7,2016,4,O3,,
samedi,16,7,2016,3,O3,,
dimanche,17,7,2016,3,O3,,
lundi,18,7,2016,4,O3,,
mardi,19,7,2016,5,O3,,
mercredi,20,7,2016,5,O3,PM10,
jeudi,21,7,2016,4,O3,PM10,
vendredi,22,7,2016,4,O3,,
samedi,23,7,2016,5,O3,,
dimanche,24,7,2016,4,O3,,
lundi,25,7,2016,3,O3,PM10,
mardi,26,7,2016,3,O3,PM10,
mercredi,27,7,2016,3,O3,PM10,
jeudi,28,7,2016,3,O3,,
vendredi,29,7,2016,3,O3,,
samedi,30,7,2016,3,O3,,
dimanche,31,7,2016,4,O3,,
lundi,1,8,2016,4,O3,,
mardi,2,8,2016,3,O3,,
mercredi,3,8,2016,3,O3,PM10,
jeudi,4,8,2016,3,O3,PM10,
vendredi,5,8,2016,3,O3,PM10,
samedi,6,8,2016,3,O3,PM10,
dimanche,7,8,2016,3,O3,PM10,
lundi,8,8,2016,3,O3,PM10,
mardi,9,8,2016,4,PM10,,
mercredi,10,8,2016,4,PM10,,
jeudi,11,8,2016,3,O3,PM10,
vendredi,12,8,2016,4,PM10,,
samedi,13,8,2016,5,O3,,
dimanche,14,8,2016,4,O3,,
lundi,15,8,2016,5,O3,,
mardi,16,8,2016,6,O3,,
mercredi,17,8,2016,6,O3,,
jeudi,18,8,2016,4,O3,,
vendredi,19,8,2016,3,O3,PM10,
samedi,20,8,2016,3,O3,PM10,
dimanche,21,8,2016,3,O3,PM10,
lundi,22,8,2016,4,O3,,
mardi,23,8,2016,4,O3,,
mercredi,24,8,2016,6,O3,,
jeudi,25,8,2016,7,O3,,
vendredi,26,8,2016,8,O3,,
samedi,27,8,2016,6,O3,PM10,
dimanche,28,8,2016,4,O3,,
lundi,29,8,2016,3,O3,,
mardi,30,8,2016,5,O3,,
mercredi,31,8,2016,5,O3,,
jeudi,1,9,2016,4,O3,,
vendredi,2,9,2016,5,O3,,
samedi,3,9,2016,4,O3,,
dimanche,4,9,2016,2,NO2,O3,PM10
lundi,5,9,2016,3,NO2,,
mardi,6,9,2016,2,NO2,PM10,
mercredi,7,9,2016,5,O3,,
jeudi,8,9,2016,4,O3,PM10,
vendredi,9,9,2016,4,NO2,O3,PM10
samedi,10,9,2016,4,O3,,
dimanche,11,9,2016,3,O3,,
lundi,12,9,2016,5,NO2,O3,
mardi,13,9,2016,5,O3,PM10,
mercredi,14,9,2016,5,O3,,
jeudi,15,9,2016,3,NO2,O3,
vendredi,16,9,2016,3,O3,,
samedi,17,9,2016,2,NO2,O3,PM10
dimanche,18,9,2016,4,O3,,
lundi,19,9,2016,3,NO2,O3,PM10
mardi,20,9,2016,4,PM10,,
mercredi,21,9,2016,5,PM10,,
jeudi,22,9,2016,5,PM10,,
vendredi,23,9,2016,4,NO2,O3,PM10
samedi,24,9,2016,5,O3,,
dimanche,25,9,2016,3,NO2,O3,PM10
lundi,26,9,2016,4,PM10,,
mardi,27,9,2016,4,PM10,,
mercredi,28,9,2016,3,NO2,O3,PM10
jeudi,29,9,2016,3,O3,,
vendredi,30,9,2016,3,NO2,PM10,
samedi,1,10,2016,3,O3,,
dimanche,2,10,2016,3,NO2,O3,
lundi,3,10,2016,3,NO2,O3,PM10
mardi,4,10,2016,3,O3,PM10,
mercredi,5,10,2016,3,O3,PM10,
jeudi,6,10,2016,3,O3,PM10,
vendredi,7,10,2016,3,PM10,,
samedi,8,10,2016,4,PM10,,
dimanche,9,10,2016,4,PM10,,
lundi,10,10,2016,5,PM10,,
mardi,11,10,2016,4,PM10,,
mercredi,12,10,2016,6,PM10,,
jeudi,13,10,2016,4,PM10,,
vendredi,14,10,2016,4,PM10,,
samedi,15,10,2016,3,O3,PM10,
dimanche,16,10,2016,3,NO2,O3,
lundi,17,10,2016,3,NO2,O3,PM10
mardi,18,10,2016,3,NO2,O3,PM10
mercredi,19,10,2016,3,NO2,PM10,
jeudi,20,10,2016,3,PM10,,
vendredi,21,10,2016,3,NO2,PM10,
samedi,22,10,2016,4,PM10,,
dimanche,23,10,2016,3,PM10,,
lundi,24,10,2016,5,PM10,,
mardi,25,10,2016,5,PM10,,
mercredi,26,10,2016,5,PM10,,
jeudi,27,10,2016,6,PM10,,
vendredi,28,10,2016,6,PM10,,
samedi,29,10,2016,3,NO2,PM10,
dimanche,30,10,2016,4,PM10,,
lundi,31,10,2016,4,PM10,,
mardi,1,11,2016,5,PM10,,
mercredi,2,11,2016,4,PM10,,
jeudi,3,11,2016,5,PM10,,
vendredi,4,11,2016,5,PM10,,
samedi,5,11,2016,3,NO2,O3,PM10
dimanche,6,11,2016,3,NO2,O3,PM10
lundi,7,11,2016,2,NO2,O3,PM10
mardi,8,11,2016,3,NO2,PM10,
mercredi,9,11,2016,3,O3,,
jeudi,10,11,2016,3,NO2,,
vendredi,11,11,2016,3,NO2,PM10,
samedi,12,11,2016,5,PM10,,
dimanche,13,11,2016,3,PM10,,
lundi,14,11,2016,4,PM10,,
mardi,15,11,2016,3,PM10,,
mercredi,16,11,2016,2,NO2,O3,PM10
jeudi,17,11,2016,3,O3,,
vendredi,18,11,2016,3,NO2,O3,
samedi,19,11,2016,3,O3,,
dimanche,20,11,2016,3,O3,,
lundi,21,11,2016,3,NO2,O3,
mardi,22,11,2016,3,NO2,O3,PM10
mercredi,23,11,2016,3,NO2,PM10,
jeudi,24,11,2016,5,PM10,,
vendredi,25,11,2016,5,PM10,,
samedi,26,11,2016,5,PM10,,
dimanche,27,11,2016,5,PM10,,
lundi,28,11,2016,3,PM10,,
mardi,29,11,2016,3,NO2,PM10,
mercredi,30,11,2016,9,PM10,,
jeudi,1,12,2016,10,PM10,,
vendredi,2,12,2016,10,PM10,,
samedi,3,12,2016,5,PM10,,
dimanche,4,12,2016,5,PM10,,
lundi,5,12,2016,8,PM10,,
mardi,6,12,2016,9,PM10,,
mercredi,7,12,2016,9,PM10,,
jeudi,8,12,2016,9,PM10,,
vendredi,9,12,2016,7,PM10,,
samedi,10,12,2016,6,PM10,,
dimanche,11,12,2016,5,PM10,,
lundi,12,12,2016,5,PM10,,
